,29
Trial Number,30.0
Stations Used,"['DG09', 'MO01']"
Number of Stations Used,2
Number of CPUs Allocated for Ray to Use,1
GPUs Used,[0]
VRAM Used Per Task,12375.0
Number of Stations Running Predictions Concurrently,1
Intra-parallelism Threads,1.0
Inter-parallelism Threads,1.0
Total Run time for Picker (s),6.989783
Trial Success,1.0
Error Message,
